clue_id,movie_id,category_id,clue_text,spoiler,date_created
3a275a11-bcb4-4dd9-8d1a-39856c6672e4,8665eb4b-54e2-485f-97bd-af48da931022,2,"A man is shot dead in a car (not visible), a bullet hole in his head with blood trickling down is then seen for several seconds.",false,2023-03-11 22:08:08.238085
25fe23da-d447-4eca-be59-95eddcfec6a3,8665eb4b-54e2-485f-97bd-af48da931022,2,Three men are shot by a policeman imposter; they die. Some blood is around two of the bodies briefly and a bullet wound dripping blood is shown on a man's back for two seconds.,false,2023-03-11 22:08:08.238677
5a831f30-a9c0-4c89-8c0e-c30e7fc89d89,8665eb4b-54e2-485f-97bd-af48da931022,2,A man is punched once. He is then seen with a rather swollen face and subtle black eye.,false,2023-03-11 22:08:08.239221
97cbc29e-6372-4631-8bd7-bdb2d8c1c9d8,8665eb4b-54e2-485f-97bd-af48da931022,3,"Two uses of the word ""Vaffanculo"", Italian for ""Fuck you"".",false,2023-03-11 22:08:08.239708
9a9441d7-2c46-4d22-b5af-6fd52a2f971b,8665eb4b-54e2-485f-97bd-af48da931022,3,"7 uses of ""goddamn"".",false,2023-03-11 22:08:08.240178
e3d783f0-2565-49d0-885d-a72fd8098d40,8665eb4b-54e2-485f-97bd-af48da931022,3,"7 uses of 'bitch', 5 of 'ass' (nonsexual), 3 of 'bastard', and 1 of 'dick' and 'crap'. Also 1 use of 'piece of ass' and 'banging' in a sexual context. And some racial slurs (mainly against Italians, but towards other races also; this includes two uses of the n word).",false,2023-03-11 22:08:08.240676
1f4b5b4d-0b64-4db3-becb-5b5c812c5b66,8665eb4b-54e2-485f-97bd-af48da931022,4,Some of the movie's plot is centered around drugs and drug dealing. But no actual activity is shown with drugs,false,2023-03-11 22:08:08.241152
fdc15d19-b68e-4a83-bc6b-283853b13455,8665eb4b-54e2-485f-97bd-af48da931022,4,Some casual smoking and drinking.,false,2023-03-11 22:08:08.241695
bb07b9a0-add2-4afe-b39a-5e539145b4f8,8665eb4b-54e2-485f-97bd-af48da931022,4,"A minor theme of drug trafficking is present in the movie. It is presented as a lucrative, but dirty, dangerous business. Also, the issue of child drug use is briefly raised, and the Commission (the Sicilian American Mafia's top organization) decides not to deal in drugs near schools to avoid it.",false,2023-03-11 22:08:08.242223
30823c7f-29b1-4ea9-b1d8-4e359f6afd1c,8665eb4b-54e2-485f-97bd-af48da931022,5,The depiction of domestic violence in the movie is very intense and can be upsetting.,false,2023-03-11 22:08:08.242712
64ffe13c-9a20-4baf-8ce3-197319c73fd1,8665eb4b-54e2-485f-97bd-af48da931022,5,"The overall tone of the movie is very dark and depressing, especially during the latter half.",false,2023-03-11 22:08:08.243208
f0e13246-5eb8-4864-ba7a-89e0f264bdc9,8665eb4b-54e2-485f-97bd-af48da931022,5,Multiple major character deaths that may upset some viewers.,false,2023-03-11 22:08:08.243704
117e3fd4-567b-40e4-bfef-35019fde04e7,8665eb4b-54e2-485f-97bd-af48da931022,5,Although almost every character is a criminal some deaths may still be emotional.,false,2023-03-11 22:08:08.244173
ebe18a41-6412-462b-9d25-f9ad6c802c59,8665eb4b-54e2-485f-97bd-af48da931022,5,"Some of the assassinations are intense, the tollbooth and revolving-door shootings especially.",false,2023-03-11 22:08:08.244670
